10,T.EH.N
aardvarks,AA1.R.D.V.AA2.R.K.S
Adam's,AE1.D.AH2.M.S
adelia,AH3.D.IY1.L.IY2.AA3
afrom,AH1.F.R.AH2.M
agoing,AA2.G.OW1.IH3.NG
anon,AH2.N.AA1.N
anoxia,AH2.N.AA1.X.IY2.AH3
armature,AA1.R.M.AH2.CH.ER3
arugula,AH2.R.UW1.G.AH3.L.AA2
atune,AH2.T.Y.UW1.N
atv,EY.T.IY.V.IY
avengement,AH3.V.EH1.N.JH.M.EH2.N.T
awl,AA1.W.L
bdt,B.IY.D.IY.T.IY
bluegill,B.L.UW1.G.IH2.L
boysenberry,B.OY1.S.EH3.N.B.EH2.R.IY1
butterbeans,B.AH2.T.ER3.B.IY1.N.S
cantaloup,K.AE1.N.T.EH3.L.OW2.P
cartwheeling,K.AA2.R.T.W.IY1.L.IH2.NG
chairlift,CH.EY1.R.L.IH2.F.T
chipmunk,CH.IH1.P.M.AH2.N.K
cornerblock,K.OW1.R.N.ER3.B.L.AA2.K
crabapple,K.R.AE1.B.AE2.P.L3
cruiseboat,K.R.UW1.Z.B.OW2.T
cruiseliner,K.R.UW1.Z.L.AY2.N.ER3
cruiseliners,K.R.UW1.Z.L.AY1.N.ER2.S
cruiseship,K.R.UW2.S.SH.IH2.P
dirigible,D.ER1.JH.IH2.B.L3
disassembling,D.IH1.S.AH3.S.EH2.M.B.L.IH2.NG
dustpan,D.AH2.S.T.P.AE1.N
earthmover,ER1.TH.M.UW2.V.ER3
fib,F.IH1.B
fie,F.AY1
fiesty,F.AY1.S.T.IY2
firehose,F.AY1.R.H.OW2.Z
firetruck,F.AY1.R.T.R.AH2.K
fishboat,F.IH1.SH.B.OW2.T
fishingboat,F.IH1.SH.IH2.NG.B.OW2.T
flatplate,F.L.AE1.T.P.L.EY2.T
flub,F.L.AH1.B
fluidometer,F.L.UW1.IH3.D.AA2.M.IH2.T.ER3
folio,F.OW1.L.IY2.OW3
foosball,F.UH1.Z.B.AA2.L
formicate,F.OW2.R.M.IH3.C.EY1.T
fornicate,F.OW2.R.N.IH3.C.EY1.T
frack,F.R.AE1.K
frat,F.R.AE1.T
fridgerator,F.R.IH1.D.JH.ER2.EY1.T.OW2.R
gerbil,JH.ER1.B.IH2.L
gripper,G.R.IH1.P.ER2
guppie,G.AH2.P.IY1
hasp,H.AE1.S.P
hemostat,H.IY1.M.OW3.S.T.AE2.T
highlighter,H.AY1.L.AY2.T.E.R3
holepunch,H.OW1.L.P.AH2.N.CH
hydroplane,H.AY1.D.R.OW3.P.L.EY2.N
icepick,AY1.S.P.IH2.K
jetski,JH.EH2.T.S.K.IY1
kickboard,K.IH1.K.B.OW2.R.D
leveler,L.EH1.V..UH3.L.ER2
limpet,L.IH1.M.P.IH2.T
lst,EH.L.EH.S.T.IY
marmot,M.AA1.R.M.AA2.N.T
motorcycling,M.OW1.T.ER2.S.IY2.K.L3
motorhome,M.OW1.T.ER3.HH.OW2.M
muscadine,M.AH2.S.K.AA3.D.IY1.N
mushmelon,M.AH1.SH.M.EH2.L.AH3.N
nailgun,N.EY1.L.G.AH2.N
nectarine,N.EH1.K.T.AA2.R.IY1.N
needlenose,N.IY1.D.L.N.OW2.S
oceanliner,OW1.SH.AH2.N.L.IY1.N.ER2
paddleboat,P.AE1.D.L.B.OW2.T
parsnip,P.AA1.R.S.N.IH2.P
persimmon,P.ER2.S.IH1.M.AH3.N
pillbug,P.IH1.L.B.AH2.G
plyer,P.L.IY1.ER2
polisher,P.AA1.L.IH2.SH.ER3
pomegranate,P.AA1.M.AH3.G.R.AE2.N.IH3.T
protractor,P.R.OW2.T.R.AE1.C.T.OW3.R
prybar,P.R.AY1.B.AA2.R
pt,P.IY.T.IY
pt,P.IY.T.IY
puking,P.Y.UW1.K.IH2.NG
quinoa,K.UW2.IY1.OW3.N.AA2
racecar,R.EY1.S.K.AA2.R
racoon,R.AE2.K.UW1.N
rapelling,R.AH2.P.EH1.L.IH3.NG
ratchets,R.AE1.T.CH.EH2.T.S
reacher,R.IY1.CH.ER2
rickshaw,R.IH1.K.SH.AA2.W
rollerskate,R.OW1.L.ER3.S.K.EY2.T
rollerskates,R.OW1.L.ER3.S.K.EY2.T.S
runabouts,R.AH2.N.AH3.B.AW1.T.S
sailplane,S.EY1.L.P.L.EY2.N
sandfly,S.AE1.N.D.F.L.IY2
scram,S.K.R.AE1.M
seabass,S.IY1.B.AE2.S
seado,S.IY1.D.UW2
seadoo,S.IY1.D.UW2
seahorse,S.IY1.HH.OW2.R.S
sealiner,S.IY1.L.IY1.N.ER2
seaplane,S.IY1.P.L.EY2.N
segway,S.EH1.G.W.EY2
shaper,SH.EY1.P.ER2
sharpener,SH.AA1.R.P.EH2.N.ER3
shoal,SH.OW1.L
sideway,S.IY1.D.W.EY2
sieze,S.IY1.Z
simpleton,S.IH1.M.P.L.T.AH2.N
siteseeing,S.AY1.T.S.IY2.NG
skee,S.K.IY1
skiboat,S.K.IY1.B.OW2.T
slingblade,S.L.IH1.NG.B.L.EY2.D
slink,S.L.IH1.N.K
slup,S.L.AH1.P
smartphone,S.M.AA1.R.T. F.OW2.N.S
smite,S.M.AY1.T
snippers,S.N.IH1.P.ER2.S
solders,S.OW1.L.D.ER2
sourdough,S.AW1.UW2.R.D.OW3
staplegun,S.T.EY1.P.L.G.AH2.N
stepmom,S.T.EH1.P.M.AO2.M
stingray,S.T.IH1.NG.R.EY2
studfinder,S.T.AH2.D.F.AY1.N.D.ER3
succotash,S.AH2.K.OW3.T.AE1.SH
SUV,S.Y.UW.V.IY
swiffer,S.W.IH1.F.ER2
swingblade,S.W.IH1.NG.B.L.EY1.D
tangelo,T.AE1.N.JH.EH3.L.OW2
terrapin,T.EH1.R.AA3.P.IH2.N
texting,T.EH2.K.S.T.IH2.NG
threader,TH.R.EH1.D.ER2
tilapia,T.AH2.L.AE1.P.IY2.AA3
tiretube,T.AY1.R.T.UW2.B
toolbelt,T.UW1.L.B.EH1.L.T
trimaran,T.R.AY1.M.AH.R.AE2.N
trolly,T.R.OW1.L.IY2
TV,T.IY.V.IY
UAV,Y.UW.EY.V.IY
vicegrip,V.AY1.S.G.R.IH2.P
warthog,W.AA1.R.T.H.AA2.G
watercraft,W.AA1.T.ER3.K.R.AE2.F.T
waterski,W.AA1.T.ER3.S.K.IY2
waterskis,W.AA1.T.ER3.S.K.IY1.S
waverunner,W.EY1.V.R.AH2.N.ER3
wildebeest,W.IH2.L.D.EH3.B.IY1.S.T
wingfly,W.IH2.NG.F.L.AY1
yorkie,Y.OW1.R.K.IY2
